#assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,asm_submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id,,,,,,,,,
GCA_025406325.1,PRJNA739144,SAMN19774128,JAHPSK000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab97,na,latest,Contig,Major,Full,2022/9/26,ASM2540632v1,Washington University in St. Louis School of Medicine,GCF_025406325.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/325/GCA_025406325.1_ASM2540632v1,from large multi-isolate project,na,na,haploid,bacteria,3895601,3895601,39,0,25,25,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3735,3626,67,na,,,,,,,,,
GCA_025406355.1,PRJNA739144,SAMN19774130,JAHPSM000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab99,na,latest,Contig,Major,Full,2022/9/26,ASM2540635v1,Washington University in St. Louis School of Medicine,GCF_025406355.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/355/GCA_025406355.1_ASM2540635v1,from large multi-isolate project,na,na,haploid,bacteria,3857832,3857832,39,0,41,41,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3657,3540,66,na,,,,,,,,,
GCA_025406375.1,PRJNA739144,SAMN19774133,JAHPSP000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab102,na,latest,Contig,Major,Full,2022/9/26,ASM2540637v1,Washington University in St. Louis School of Medicine,GCF_025406375.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/375/GCA_025406375.1_ASM2540637v1,from large multi-isolate project,na,na,haploid,bacteria,3937950,3937950,39,0,26,26,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3805,3691,67,na,,,,,,,,,
GCA_025406385.1,PRJNA739144,SAMN19774129,JAHPSL000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab98,na,latest,Contig,Major,Full,2022/9/26,ASM2540638v1,Washington University in St. Louis School of Medicine,GCF_025406385.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/385/GCA_025406385.1_ASM2540638v1,from large multi-isolate project,na,na,haploid,bacteria,3898209,3898209,39,0,28,28,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3743,3626,70,na,,,,,,,,,
GCA_025406415.1,PRJNA739144,SAMN19774139,JAHPSV000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab121,na,latest,Contig,Major,Full,2022/9/26,ASM2540641v1,Washington University in St. Louis School of Medicine,GCF_025406415.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/415/GCA_025406415.1_ASM2540641v1,from large multi-isolate project,na,na,haploid,bacteria,3938929,3938929,39,0,26,26,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3804,3691,65,na,,,,,,,,,
GCA_025406435.1,PRJNA739144,SAMN19774137,JAHPST000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab118,na,latest,Contig,Major,Full,2022/9/26,ASM2540643v1,Washington University in St. Louis School of Medicine,GCF_025406435.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/435/GCA_025406435.1_ASM2540643v1,from large multi-isolate project,na,na,haploid,bacteria,3855695,3855695,39,0,86,86,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3721,3607,68,na,,,,,,,,,
GCA_025406455.1,PRJNA739144,SAMN19774140,JAHPSW000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab122,na,latest,Contig,Major,Full,2022/9/26,ASM2540645v1,Washington University in St. Louis School of Medicine,GCF_025406455.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/455/GCA_025406455.1_ASM2540645v1,from large multi-isolate project,na,na,haploid,bacteria,3941926,3941926,39,0,28,28,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3805,3689,67,na,,,,,,,,,
GCA_025406475.1,PRJNA739144,SAMN19774144,JAHPTA000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab136,na,latest,Contig,Major,Full,2022/9/26,ASM2540647v1,Washington University in St. Louis School of Medicine,GCF_025406475.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/475/GCA_025406475.1_ASM2540647v1,from large multi-isolate project,na,na,haploid,bacteria,3953419,3953419,39,0,61,61,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3879,3740,67,na,,,,,,,,,
GCA_025406495.1,PRJNA739144,SAMN19774142,JAHPSY000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab134,na,latest,Contig,Major,Full,2022/9/26,ASM2540649v1,Washington University in St. Louis School of Medicine,GCF_025406495.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/495/GCA_025406495.1_ASM2540649v1,from large multi-isolate project,na,na,haploid,bacteria,3694140,3694140,39,0,65,65,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3595,3434,64,na,,,,,,,,,
GCA_025406505.1,PRJNA739144,SAMN19774145,JAHPTB000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab137,na,latest,Contig,Major,Full,2022/9/26,ASM2540650v1,Washington University in St. Louis School of Medicine,GCF_025406505.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/505/GCA_025406505.1_ASM2540650v1,from large multi-isolate project,na,na,haploid,bacteria,3954894,3954894,39,0,60,60,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3880,3737,68,na,,,,,,,,,
GCA_025406535.1,PRJNA739144,SAMN19774147,JAHPTD000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab139,na,latest,Contig,Major,Full,2022/9/26,ASM2540653v1,Washington University in St. Louis School of Medicine,GCF_025406535.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/535/GCA_025406535.1_ASM2540653v1,from large multi-isolate project,na,na,haploid,bacteria,3813432,3813432,38.5,0,30,30,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3614,3497,64,na,,,,,,,,,
GCA_025406555.1,PRJNA739144,SAMN19774148,JAHPTE000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab140,na,latest,Contig,Major,Full,2022/9/26,ASM2540655v1,Washington University in St. Louis School of Medicine,GCF_025406555.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/555/GCA_025406555.1_ASM2540655v1,from large multi-isolate project,na,na,haploid,bacteria,3731434,3731434,39,0,42,42,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3528,3436,68,na,,,,,,,,,
GCA_025406595.1,PRJNA739144,SAMN19774157,JAHPTN000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab152,na,latest,Contig,Major,Full,2022/9/26,ASM2540659v1,Washington University in St. Louis School of Medicine,GCF_025406595.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/595/GCA_025406595.1_ASM2540659v1,from large multi-isolate project,na,na,haploid,bacteria,3998282,3998282,39,0,97,97,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3897,3773,68,na,,,,,,,,,
GCA_025406615.1,PRJNA739144,SAMN19774158,JAHPTO000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab153,na,latest,Contig,Major,Full,2022/9/26,ASM2540661v1,Washington University in St. Louis School of Medicine,GCF_025406615.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/615/GCA_025406615.1_ASM2540661v1,from large multi-isolate project,na,na,haploid,bacteria,3910492,3910492,39,0,39,39,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3752,3641,67,na,,,,,,,,,
GCA_025406635.1,PRJNA739144,SAMN19774159,JAHPTP000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab154,na,latest,Contig,Major,Full,2022/9/26,ASM2540663v1,Washington University in St. Louis School of Medicine,GCF_025406635.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/635/GCA_025406635.1_ASM2540663v1,from large multi-isolate project,na,na,haploid,bacteria,3965338,3965338,39,0,58,58,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3892,3744,69,na,,,,,,,,,
GCA_025406655.1,PRJNA739144,SAMN19774160,JAHPTQ000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab155,na,latest,Contig,Major,Full,2022/9/26,ASM2540665v1,Washington University in St. Louis School of Medicine,GCF_025406655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/655/GCA_025406655.1_ASM2540665v1,from large multi-isolate project,na,na,haploid,bacteria,3893535,3893535,39,0,27,27,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3735,3627,67,na,,,,,,,,,
GCA_025406675.1,PRJNA739144,SAMN19774166,JAHPTW000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab164,na,latest,Contig,Major,Full,2022/9/26,ASM2540667v1,Washington University in St. Louis School of Medicine,GCF_025406675.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/675/GCA_025406675.1_ASM2540667v1,from large multi-isolate project,na,na,haploid,bacteria,3940045,3940045,39,0,30,30,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3808,3693,67,na,,,,,,,,,
GCA_025406695.1,PRJNA739144,SAMN19774167,JAHPTX000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab165,na,latest,Contig,Major,Full,2022/9/26,ASM2540669v1,Washington University in St. Louis School of Medicine,GCF_025406695.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/695/GCA_025406695.1_ASM2540669v1,from large multi-isolate project,na,na,haploid,bacteria,4055476,4055476,39,0,57,57,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3979,3842,68,na,,,,,,,,,
GCA_025406715.1,PRJNA739144,SAMN19774168,JAHPTY000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab166,na,latest,Contig,Major,Full,2022/9/26,ASM2540671v1,Washington University in St. Louis School of Medicine,GCF_025406715.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/715/GCA_025406715.1_ASM2540671v1,from large multi-isolate project,na,na,haploid,bacteria,3813702,3813702,39,0,36,36,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3646,3538,66,na,,,,,,,,,
GCA_025406735.1,PRJNA739144,SAMN19774181,JAHPUL000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab189,na,latest,Contig,Major,Full,2022/9/26,ASM2540673v1,Washington University in St. Louis School of Medicine,GCF_025406735.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/735/GCA_025406735.1_ASM2540673v1,from large multi-isolate project,na,na,haploid,bacteria,3975498,3975498,38.5,0,23,23,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3795,3668,70,na,,,,,,,,,
GCA_025406745.1,PRJNA739144,SAMN19774179,JAHPUJ000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab184,na,latest,Contig,Major,Full,2022/9/26,ASM2540674v1,Washington University in St. Louis School of Medicine,GCF_025406745.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/745/GCA_025406745.1_ASM2540674v1,from large multi-isolate project,na,na,haploid,bacteria,3768347,3768347,39,0,31,31,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3557,3459,68,na,,,,,,,,,
GCA_025406775.1,PRJNA739144,SAMN19774186,JAHPUQ000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab199,na,latest,Contig,Major,Full,2022/9/26,ASM2540677v1,Washington University in St. Louis School of Medicine,GCF_025406775.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/775/GCA_025406775.1_ASM2540677v1,from large multi-isolate project,na,na,haploid,bacteria,3853571,3853571,39,0,92,92,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3715,3573,66,na,,,,,,,,,
GCA_025406795.1,PRJNA739144,SAMN19774182,JAHPUM000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab194,na,latest,Contig,Major,Full,2022/9/26,ASM2540679v1,Washington University in St. Louis School of Medicine,GCF_025406795.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/795/GCA_025406795.1_ASM2540679v1,from large multi-isolate project,na,na,haploid,bacteria,4221787,4221787,39,0,65,65,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,4092,3923,64,na,,,,,,,,,
GCA_025406815.1,PRJNA739144,SAMN19774187,JAHPUR000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab202,na,latest,Contig,Major,Full,2022/9/26,ASM2540681v1,Washington University in St. Louis School of Medicine,GCF_025406815.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/815/GCA_025406815.1_ASM2540681v1,from large multi-isolate project,na,na,haploid,bacteria,3995817,3995817,39,0,50,50,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3878,3745,68,na,,,,,,,,,
GCA_025406825.1,PRJNA739144,SAMN19774190,JAHPUU000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab206,na,latest,Contig,Major,Full,2022/9/26,ASM2540682v1,Washington University in St. Louis School of Medicine,GCF_025406825.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/825/GCA_025406825.1_ASM2540682v1,from large multi-isolate project,na,na,haploid,bacteria,3931699,3931699,38.5,0,41,41,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3795,3656,64,na,,,,,,,,,
GCA_025406835.1,PRJNA739144,SAMN19774188,JAHPUS000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab204,na,latest,Contig,Major,Full,2022/9/26,ASM2540683v1,Washington University in St. Louis School of Medicine,GCF_025406835.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/835/GCA_025406835.1_ASM2540683v1,from large multi-isolate project,na,na,haploid,bacteria,3697345,3697345,39,0,22,22,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3492,3400,67,na,,,,,,,,,
GCA_025406875.1,PRJNA739144,SAMN19774189,JAHPUT000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab205,na,latest,Contig,Major,Full,2022/9/26,ASM2540687v1,Washington University in St. Louis School of Medicine,GCF_025406875.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/875/GCA_025406875.1_ASM2540687v1,from large multi-isolate project,na,na,haploid,bacteria,3781412,3781412,39,0,31,31,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3594,3489,67,na,,,,,,,,,
GCA_025406895.1,PRJNA739144,SAMN19774192,JAHPUW000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab210,na,latest,Contig,Major,Full,2022/9/26,ASM2540689v1,Washington University in St. Louis School of Medicine,GCF_025406895.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/895/GCA_025406895.1_ASM2540689v1,from large multi-isolate project,na,na,haploid,bacteria,3897060,3897060,39,0,26,26,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3734,3622,67,na,,,,,,,,,
GCA_025406935.1,PRJNA739144,SAMN19774193,JAHPUX000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab212,na,latest,Contig,Major,Full,2022/9/26,ASM2540693v1,Washington University in St. Louis School of Medicine,GCF_025406935.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/935/GCA_025406935.1_ASM2540693v1,from large multi-isolate project,na,na,haploid,bacteria,3856373,3856373,39,0,54,54,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3674,3539,69,na,,,,,,,,,
GCA_025406955.1,PRJNA739144,SAMN19774194,JAHPUY000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab214,na,latest,Contig,Major,Full,2022/9/26,ASM2540695v1,Washington University in St. Louis School of Medicine,GCF_025406955.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/955/GCA_025406955.1_ASM2540695v1,from large multi-isolate project,na,na,haploid,bacteria,3851361,3851361,39,0,51,51,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3651,3524,68,na,,,,,,,,,
GCA_025406995.1,PRJNA739144,SAMN19774197,JAHPVB000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab217,na,latest,Contig,Major,Full,2022/9/26,ASM2540699v1,Washington University in St. Louis School of Medicine,GCF_025406995.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/406/995/GCA_025406995.1_ASM2540699v1,from large multi-isolate project,na,na,haploid,bacteria,3896653,3896653,39,0,32,32,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3739,3629,67,na,,,,,,,,,
GCA_025407015.1,PRJNA739144,SAMN19774205,JAHPVJ000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab225,na,latest,Contig,Major,Full,2022/9/26,ASM2540701v1,Washington University in St. Louis School of Medicine,GCF_025407015.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/407/015/GCA_025407015.1_ASM2540701v1,from large multi-isolate project,na,na,haploid,bacteria,3958933,3958933,39,0,51,51,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3807,3683,66,na,,,,,,,,,
GCA_025407035.1,PRJNA739144,SAMN19774203,JAHPVH000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab223,na,latest,Contig,Major,Full,2022/9/26,ASM2540703v1,Washington University in St. Louis School of Medicine,GCF_025407035.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/407/035/GCA_025407035.1_ASM2540703v1,from large multi-isolate project,na,na,haploid,bacteria,3902114,3902114,39,0,27,27,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3742,3628,67,na,,,,,,,,,
GCA_025407045.1,PRJNA739144,SAMN19774201,JAHPVF000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab221,na,latest,Contig,Major,Full,2022/9/26,ASM2540704v1,Washington University in St. Louis School of Medicine,GCF_025407045.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/407/045/GCA_025407045.1_ASM2540704v1,from large multi-isolate project,na,na,haploid,bacteria,3928722,3928722,39,0,34,34,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3759,3639,66,na,,,,,,,,,
GCA_025407055.1,PRJNA739144,SAMN19774199,JAHPVD000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab219,na,latest,Contig,Major,Full,2022/9/26,ASM2540705v1,Washington University in St. Louis School of Medicine,GCF_025407055.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/407/055/GCA_025407055.1_ASM2540705v1,from large multi-isolate project,na,na,haploid,bacteria,3958197,3958197,39,0,46,46,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3802,3686,64,na,,,,,,,,,
GCA_025407095.1,PRJNA739144,SAMN19774206,JAHPVK000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab226,na,latest,Contig,Major,Full,2022/9/26,ASM2540709v1,Washington University in St. Louis School of Medicine,GCF_025407095.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/407/095/GCA_025407095.1_ASM2540709v1,from large multi-isolate project,na,na,haploid,bacteria,3872269,3872269,39,0,46,46,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3713,3613,67,na,,,,,,,,,
GCA_025407115.1,PRJNA739144,SAMN19774212,JAHPVQ000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab232,na,latest,Contig,Major,Full,2022/9/26,ASM2540711v1,Washington University in St. Louis School of Medicine,GCF_025407115.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/407/115/GCA_025407115.1_ASM2540711v1,from large multi-isolate project,na,na,haploid,bacteria,3955521,3955521,39,0,73,73,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3818,3698,69,na,,,,,,,,,
GCA_025407125.1,PRJNA739144,SAMN19774207,JAHPVL000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab227,na,latest,Contig,Major,Full,2022/9/26,ASM2540712v1,Washington University in St. Louis School of Medicine,GCF_025407125.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/407/125/GCA_025407125.1_ASM2540712v1,from large multi-isolate project,na,na,haploid,bacteria,3776451,3776451,39,0,31,31,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3555,3461,64,na,,,,,,,,,
GCA_025407155.1,PRJNA739144,SAMN19774215,JAHPVT000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab235,na,latest,Contig,Major,Full,2022/9/26,ASM2540715v1,Washington University in St. Louis School of Medicine,GCF_025407155.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/407/155/GCA_025407155.1_ASM2540715v1,from large multi-isolate project,na,na,haploid,bacteria,3967681,3967681,39,0,57,57,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3824,3696,66,na,,,,,,,,,
GCA_025407165.1,PRJNA739144,SAMN19774213,JAHPVR000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab233,na,latest,Contig,Major,Full,2022/9/26,ASM2540716v1,Washington University in St. Louis School of Medicine,GCF_025407165.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/407/165/GCA_025407165.1_ASM2540716v1,from large multi-isolate project,na,na,haploid,bacteria,3907189,3907189,39,0,66,66,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3831,3680,68,na,,,,,,,,,
GCA_025407215.1,PRJNA739144,SAMN19774217,JAHPVV000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab237,na,latest,Contig,Major,Full,2022/9/26,ASM2540721v1,Washington University in St. Louis School of Medicine,GCF_025407215.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/407/215/GCA_025407215.1_ASM2540721v1,from large multi-isolate project,na,na,haploid,bacteria,3895563,3895563,39,0,24,24,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3735,3626,67,na,,,,,,,,,
GCA_025407235.1,PRJNA739144,SAMN19774216,JAHPVU000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab236,na,latest,Contig,Major,Full,2022/9/26,ASM2540723v1,Washington University in St. Louis School of Medicine,GCF_025407235.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/407/235/GCA_025407235.1_ASM2540723v1,from large multi-isolate project,na,na,haploid,bacteria,3893695,3893695,39,0,33,33,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3736,3628,65,na,,,,,,,,,
GCA_025407275.1,PRJNA739144,SAMN19774219,JAHPVX000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab239,na,latest,Contig,Major,Full,2022/9/26,ASM2540727v1,Washington University in St. Louis School of Medicine,GCF_025407275.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/407/275/GCA_025407275.1_ASM2540727v1,from large multi-isolate project,na,na,haploid,bacteria,3898458,3898458,39,0,34,34,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3741,3627,66,na,,,,,,,,,
GCA_025407295.1,PRJNA739144,SAMN19774225,JAHPWD000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab245,na,latest,Contig,Major,Full,2022/9/26,ASM2540729v1,Washington University in St. Louis School of Medicine,GCF_025407295.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/407/295/GCA_025407295.1_ASM2540729v1,from large multi-isolate project,na,na,haploid,bacteria,3943594,3943594,39,0,41,41,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3808,3691,68,na,,,,,,,,,
GCA_025407315.1,PRJNA739144,SAMN19774226,JAHPWE000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab246,na,latest,Contig,Major,Full,2022/9/26,ASM2540731v1,Washington University in St. Louis School of Medicine,GCF_025407315.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/407/315/GCA_025407315.1_ASM2540731v1,from large multi-isolate project,na,na,haploid,bacteria,3964971,3964971,39,0,59,59,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3814,3693,66,na,,,,,,,,,
GCA_025407335.1,PRJNA739144,SAMN19774228,JAHPWG000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab248,na,latest,Contig,Major,Full,2022/9/26,ASM2540733v1,Washington University in St. Louis School of Medicine,GCF_025407335.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/407/335/GCA_025407335.1_ASM2540733v1,from large multi-isolate project,na,na,haploid,bacteria,3939249,3939249,39,0,24,24,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3802,3691,66,na,,,,,,,,,
GCA_025407355.1,PRJNA739144,SAMN19774229,JAHPWH000000000.1,na,470,470,Acinetobacter baumannii,strain=WU_MDCI_Ab249,na,latest,Contig,Major,Full,2022/9/26,ASM2540735v1,Washington University in St. Louis School of Medicine,GCF_025407355.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/407/355/GCA_025407355.1_ASM2540735v1,from large multi-isolate project,na,na,haploid,bacteria,4026988,4026988,39,0,56,56,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021/6/22,3934,3790,67,na,,,,,,,,,
